DATE,COUNTY,INDIVIDUALS,CASELOADS,ISSUANCE
2011-06-01,Chester,3663,1718,456595
2011-06-01,Claiborne,8389,4027,1025771
2011-06-01,Clay,2213,1112,268990
2011-06-01,Cocke,11554,5728,1482463
2011-06-01,Coffee,11289,5111,1509934
2011-06-01,Crockett,3435,1658,444675
2011-06-01,Cumberland,11149,5187,1425939
2011-06-01,Davidson,124894,61916,17686078
2011-06-01,Decatur,2734,1360,346519
2011-06-01,Dekalb,4653,2268,620149
2011-06-01,Dickson,9724,4503,1315507
2011-06-01,Dyer,9776,4674,1265531
2011-06-01,Fayette,7213,3742,952006
2011-06-01,Fentress,5967,2937,730619
2011-06-01,Franklin,6663,3048,817283
2011-06-01,Gibson,11403,5566,1458399
2011-06-01,Giles,5992,2884,768683
2011-06-01,Grainger,5189,2314,649082
2011-06-01,Greene,13140,6284,1689932
2011-06-01,Grundy,5189,2438,652752
2011-06-01,Hamblen,13219,6365,1723120
2011-06-01,Hamilton,57947,29457,7974021
2011-06-01,Hancock,2679,1292,324098
2011-06-01,Hardeman,7108,3554,923578
2011-06-01,Hardin,7083,3460,884163
2011-06-01,Hawkins,12481,5801,1561243
2011-06-01,Haywood,6019,3167,775754
2011-06-01,Henderson,6746,3400,850377
2011-06-01,Henry,7661,3605,982438
2011-06-01,Hickman,6278,2836,825794
2011-06-01,Houston,1755,753,213239
2011-06-01,Humphreys,3659,1621,467808
2011-06-01,Jackson,2879,1435,366884
2011-06-01,Jefferson,10900,5087,1395884
2011-06-01,Johnson,4530,2402,561578
2011-06-01,Knox,66055,33645,9494222
2011-06-01,Lake,2280,1214,294234
2011-06-01,Lauderdale,8084,3900,1057100
2011-06-01,Lawrence,8986,4174,1126708
2011-06-01,Lewis,3252,1521,405396
2011-06-01,Lincoln,6948,3215,863426
2011-06-01,Loudon,7156,3293,940816
2011-06-01,Macon,6195,2793,801980
2011-06-01,Madison,20303,9870,2665939
2011-06-01,Marion,7214,3459,941563
2011-06-01,Marshall,6257,2853,806272
2011-06-01,Maury,16683,7891,2239024
2011-06-01,Meigs,3207,1495,415710
2011-06-01,Monroe,10490,4863,1306555
2011-06-01,Montgomery,25019,11151,3367626
2011-06-01,Moore,892,361,104604
2011-06-01,Morgan,5306,2440,679292
2011-06-01,McMinn,11117,5241,1426378
2011-06-01,McNairy,7839,3863,975317
2011-06-01,Obion,6669,3167,819650
2011-06-01,Overton,4925,2351,607444
2011-06-01,Perry,2065,969,259264
2011-06-01,Pickett,1083,554,123864
2011-06-01,Polk,4117,1841,498502
2011-06-01,Putnam,14372,7029,1914800
2011-06-01,Rhea,8351,3877,1094893
2011-06-01,Roane,9954,4820,1256264
2011-06-01,Robertson,11913,5624,1640557
2011-06-01,Rutherford,39041,17595,5411713
2011-06-01,Scott,8233,3981,1005162
2011-06-01,Sequatchie,3883,1759,508689
2011-06-01,Sevier,17769,7791,2279275
2011-06-01,Shelby,252447,122408,36412670
2011-06-01,Smith,4116,1862,546956
2011-06-01,Stewart,2377,1013,276729
2011-06-01,Sullivan,28351,13553,3599033
2011-06-01,Sumner,22853,10363,3121232
2011-06-01,Tipton,13475,6340,1834262
2011-06-01,Trousdale,1721,810,217663
2011-06-01,Unicoi,4005,1950,486150
2011-06-01,Union,5426,2395,683324
2011-06-01,Van Buren,1280,592,149945
2011-06-01,Warren,9520,4448,1200167
2011-06-01,Washington,19062,9695,2524206
2011-06-01,Wayne,3366,1595,409948
2011-06-01,Weakley,7019,3540,899267
2011-06-01,White,6042,2718,748050
2011-06-01,Williamson,7889,3449,1060929
2011-06-01,Wilson,14313,6777,1953982
2011-07-01,Anderson,15371,7332,1999127
2011-07-01,Bedford,10929,5189,1562503
2011-07-01,Benton,3675,1808,448543
2011-07-01,Bledsoe,3619,1674,461819
2011-07-01,Blount,19561,9414,2598215
2011-07-01,Bradley,19983,9389,2596060
2011-07-01,Campbell,12840,6573,1655696
2011-07-01,Cannon,3317,1588,442150
2011-07-01,Carroll,6988,3309,885900
2011-07-01,Carter,12212,5880,1501522
2011-07-01,Cheatham,6474,2837,876390
2011-07-01,Chester,3605,1693,456656
2011-07-01,Claiborne,8470,4063,1042029
2011-07-01,Clay,2187,1100,263864
2011-07-01,Cocke,11493,5703,1465429
2011-07-01,Coffee,11185,5044,1492796
2011-07-01,Crockett,3370,1616,436096
2011-07-01,Cumberland,11015,5159,1407532
2011-07-01,Davidson,123605,61221,17473599
2011-07-01,Decatur,2718,1361,344740
2011-07-01,Dekalb,4666,2271,621738
2011-07-01,Dickson,9683,4485,1320571
2011-07-01,Dyer,9694,4632,1248728
2011-07-01,Fayette,7170,3750,952133
2011-07-01,Fentress,5894,2927,723375
2011-07-01,Franklin,6616,3025,810100
2011-07-01,Gibson,11284,5540,1454375
2011-07-01,Giles,5998,2900,771615
2011-07-01,Grainger,5145,2299,633359
2011-07-01,Greene,13097,6272,1674354
2011-07-01,Grundy,5156,2445,645505
2011-07-01,Hamblen,12980,6259,1698100
2011-07-01,Hamilton,57169,29067,7864350
2011-07-01,Hancock,2663,1296,322176
2011-07-01,Hardeman,7087,3552,929273
2011-07-01,Hardin,6947,3406,870471
